0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:27 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:06:27 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:08:41 -0300] "GET /estoque/listar HTTP/1.1" 200 5734
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:08:41 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:08:41 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:08:41 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:08:41 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:08:41 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:10:16 -0300] "GET /estoque/listar HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [23/Jul/2018:11:10:16 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
