0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:08 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:36 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:36 -0300] "GET /estoque/ HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:37 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:37 -0300] "GET /estoque/resources/teste/script.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:37 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:52 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:53 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:53 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:53 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:53 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:53:53 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:54:28 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:54:29 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:54:29 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:17:54:29 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
